[2023-06-17 15:37:40] INFO | FSMContextProxy state = 'Form:image_source', data = {'image_style': 'AgACAgIAAxkBAAMjZI2pDjk5BuJoyzpk8iigFyPUSPUAAsDGMRsSEHBI4XfxHQl19nUBAAMCAANtAAMvBA', 'image_source': 'AgACAgIAAxkBAAMmZI2pFNsVLqVeoGYPTx3rgj8Nl5YAAhnJMRviLnFIyHG6IYXrgPIBAAMCAAN5AAMvBA', 'size': [1097, 729]}, closed = True
[2023-06-17 15:37:42] INFO | 300954178 generate photo
[2023-06-17 15:37:42] INFO | 300954178 | source file: AgACAgIAAxkBAAMmZI2pFNsVLqVeoGYPTx3rgj8Nl5YAAhnJMRviLnFIyHG6IYXrgPIBAAMCAAN5AAMvBA | image_file: AgACAgIAAxkBAAMjZI2pDjk5BuJoyzpk8iigFyPUSPUAAsDGMRsSEHBI4XfxHQl19nUBAAMCAANtAAMvBA
[2023-06-17 15:38:05] INFO | Building the style transfer model..
[2023-06-17 15:38:07] INFO | Optimizing..
[2023-06-17 15:38:11] INFO | run [5]:
[2023-06-17 15:38:11] INFO | Style Loss : 14686.194336 Content Loss: 20.738817
[2023-06-17 15:38:15] INFO | run [10]:
[2023-06-17 15:38:15] INFO | Style Loss : 5793.405762 Content Loss: 13.505887
[2023-06-17 15:38:19] INFO | run [15]:
[2023-06-17 15:38:19] INFO | Style Loss : 3221.723633 Content Loss: 12.233673
[2023-06-17 15:38:23] INFO | run [20]:
[2023-06-17 15:38:23] INFO | Style Loss : 2333.254150 Content Loss: 12.157765
[2023-06-17 15:38:27] INFO | run [25]:
[2023-06-17 15:38:27] INFO | Style Loss : 2105.885986 Content Loss: 12.175808
[2023-06-17 15:38:31] INFO | run [30]:
[2023-06-17 15:38:31] INFO | Style Loss : 1975.255981 Content Loss: 12.309818
[2023-06-17 15:38:35] INFO | run [35]:
[2023-06-17 15:38:35] INFO | Style Loss : 1840.755371 Content Loss: 12.698692
[2023-06-17 15:38:39] INFO | run [40]:
[2023-06-17 15:38:39] INFO | Style Loss : 1685.959961 Content Loss: 13.037560
[2023-06-17 15:38:39] INFO | 7ca15c7828384483a63ca40c57b7e35d.jpg
[2023-06-17 15:39:19] INFO | 300954178 generate photo
[2023-06-17 15:39:19] INFO | 300954178 | source file: AgACAgIAAxkBAAMmZI2pFNsVLqVeoGYPTx3rgj8Nl5YAAhnJMRviLnFIyHG6IYXrgPIBAAMCAAN5AAMvBA | image_file: AgACAgIAAxkBAAMjZI2pDjk5BuJoyzpk8iigFyPUSPUAAsDGMRsSEHBI4XfxHQl19nUBAAMCAANtAAMvBA
[2023-06-17 15:39:22] INFO | Building the style transfer model..
[2023-06-17 15:39:23] INFO | Optimizing..
[2023-06-17 15:39:28] INFO | run [5]:
[2023-06-17 15:39:28] INFO | Style Loss : 14686.194336 Content Loss: 20.738817
[2023-06-17 15:39:32] INFO | run [10]:
[2023-06-17 15:39:32] INFO | Style Loss : 5793.405762 Content Loss: 13.505887
[2023-06-17 15:39:35] INFO | run [15]:
[2023-06-17 15:39:35] INFO | Style Loss : 3221.723633 Content Loss: 12.233673
[2023-06-17 15:39:39] INFO | run [20]:
[2023-06-17 15:39:39] INFO | Style Loss : 2333.254150 Content Loss: 12.157765
[2023-06-17 15:39:43] INFO | run [25]:
[2023-06-17 15:39:43] INFO | Style Loss : 2105.885986 Content Loss: 12.175808
[2023-06-17 15:39:48] INFO | run [30]:
[2023-06-17 15:39:48] INFO | Style Loss : 1975.255981 Content Loss: 12.309818
[2023-06-17 15:39:52] INFO | run [35]:
[2023-06-17 15:39:52] INFO | Style Loss : 1840.755371 Content Loss: 12.698692
[2023-06-17 15:39:56] INFO | run [40]:
[2023-06-17 15:39:56] INFO | Style Loss : 1685.959961 Content Loss: 13.037560
[2023-06-17 15:39:56] INFO | c30cb40cd3614049ab6f96e86276d574.jpg
[2023-06-17 15:53:55] INFO | User 300954178 deouron started
[2023-06-17 15:54:03] INFO | 300954178 generating photo
[2023-06-17 15:54:08] INFO | Started loading photo source for 300954178
[2023-06-17 15:55:31] INFO | User 300954178 deouron started
[2023-06-17 15:55:34] INFO | Started loading photo source for 300954178
[2023-06-17 15:55:49] INFO | 300954178 generating photo
[2023-06-17 15:55:54] INFO | Started loading photo style for 300954178
[2023-06-17 15:55:57] INFO | 300954178 loading AgACAgIAAxkBAAM6ZI2tXbKBWKLD_CWRD3WyFEYVLOIAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA.jpg
[2023-06-17 15:55:57] INFO | FSMContextProxy state = 'Form:image_style', data = {'image_style': 'AgACAgIAAxkBAAM6ZI2tXbKBWKLD_CWRD3WyFEYVLOIAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA'}, closed = True
[2023-06-17 15:55:59] INFO | 300954178 generating photo
[2023-06-17 15:56:31] INFO | Started loading photo source for 300954178
[2023-06-17 15:56:33] INFO | 300954178 loading AgACAgIAAxkBAAM_ZI2tgZT_RkCxh0KjMQRFW3ZtmKUAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA.jpg
[2023-06-17 15:56:33] INFO | FSMContextProxy state = 'Form:image_source', data = {'image_style': 'AgACAgIAAxkBAAM6ZI2tXbKBWKLD_CWRD3WyFEYVLOIAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'image_source': 'AgACAgIAAxkBAAM_ZI2tgZT_RkCxh0KjMQRFW3ZtmKUAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'size': [1280, 486]}, closed = True
[2023-06-17 15:56:34] INFO | 300954178 generating photo
